LAMMPS data file generated by cemd on 30/07/2026 17:41:50
 21 atoms
 3 atom types
        -8.837400       9.204500 xlo xhi
        -8.591600       7.887200 ylo yhi
        -6.482100       5.868500 zlo zhi

 Atom Type Labels

1 C
2 H
3 O

 Masses

C 12.01078
H 1.007947
O 15.99943

 Atoms # full

1   1  O  0.0  1.2333  0.5540  0.7792
2   1  O  0.0 -0.6952 -2.7148 -0.7502
3   1  O  0.0  0.7958 -2.1843  0.8685
4   1  O  0.0  1.7813  0.8105 -1.4821
5   1  C  0.0 -0.0857  0.6088  0.4403
6   1  C  0.0 -0.7927 -0.5515  0.1244
7   1  C  0.0 -0.7288  1.8464  0.4133
8   1  C  0.0 -2.1426 -0.4741 -0.2184
9   1  C  0.0 -2.0787  1.9238  0.0706
10  1  C  0.0 -2.7855  0.7636 -0.2453
11  1  C  0.0 -0.1409 -1.8536  0.1477
12  1  C  0.0  2.1094  0.6715 -0.3113
13  1  C  0.0  3.5305  0.5996  0.1635
14  1  H  0.0 -0.1851  2.7545  0.6593
15  1  H  0.0 -2.7247 -1.3605 -0.4564
16  1  H  0.0 -2.5797  2.8872  0.0506
17  1  H  0.0 -3.8374  0.8238 -0.5090
18  1  H  0.0  3.7290  1.4184  0.8593
19  1  H  0.0  4.2045  0.6969 -0.6924
20  1  H  0.0  3.7105 -0.3659  0.6426
21  1  H  0.0 -0.2555 -3.5916 -0.7337
