import time: self [us] | cumulative | imported package
import time:       200 |        200 |                   _contextvars
import time:       173 |        372 |                 contextvars
import time:       152 |        152 |                 asyncio.format_helpers
import time:       267 |        267 |                   asyncio.base_futures
import time:       333 |        333 |                   asyncio.exceptions
import time:       210 |        210 |                   asyncio.base_tasks
import time:       654 |       1463 |                 _asyncio
import time:       617 |       2602 |               asyncio.events
import time:       326 |        326 |               asyncio.futures
import time:       215 |        215 |               asyncio.protocols
import time:       358 |        358 |                 asyncio.transports
import time:       136 |        136 |                 asyncio.log
import time:       831 |       1324 |               asyncio.sslproto
import time:       128 |        128 |                   asyncio.mixins
import time:       420 |        420 |                   asyncio.tasks
import time:       727 |       1273 |                 asyncio.locks
import time:       461 |       1733 |               asyncio.staggered
import time:       268 |        268 |               asyncio.trsock
import time:       951 |      16980 |             asyncio.base_events
import time:       363 |        363 |             asyncio.runners
import time:      1765 |       1765 |             asyncio.queues
import time:       649 |        649 |             asyncio.streams
import time:       329 |        329 |             asyncio.subprocess
import time:       183 |        183 |             asyncio.taskgroups
import time:       633 |        633 |             asyncio.timeouts
import time:       169 |        169 |             asyncio.threads
import time:       274 |        274 |               asyncio.base_subprocess
import time:       528 |        528 |               asyncio.selector_events
import time:       868 |       1668 |             asyncio.unix_events
import time:       406 |      23141 |           asyncio
import time:       181 |      23321 |         tqdm.asyncio
import time:       210 |      68973 |       tqdm.auto
import time:       261 |      69234 |     MDAnalysis.lib.log
import time:       190 |        190 |         numpy.version
import time:       186 |        186 |         numpy._expired_attrs_2_0
import time:       157 |        157 |             numpy._utils._convertions
import time:       164 |        320 |           numpy._utils
import time:       361 |        681 |         numpy._globals
import time:        41 |         41 |           numpy._distributor_init_local
import time:       137 |        177 |         numpy._distributor_init
import time:       667 |        667 |                   numpy.exceptions
import time:       388 |        388 |                   numpy._core._exceptions
import time:       159 |        159 |                   numpy._core.printoptions
import time:       288 |        288 |                   numpy.dtypes
import time:      9199 |      10700 |                 numpy._core._multiarray_umath
import time:       218 |        218 |                   numpy._utils._inspect
import time:       516 |        733 |                 numpy._core.overrides
import time:      2620 |      14052 |               numpy._core.multiarray
import time:       301 |        301 |               numpy._core.umath
import time:       918 |        918 |                 numpy._core._dtype
import time:       210 |        210 |                 numpy._core._string_helpers
import time:       444 |        444 |                 numpy._core._type_aliases
import time:       624 |       2194 |               numpy._core.numerictypes
import time:       363 |        363 |                           _compat_pickle
import time:       468 |        468 |                           _pickle
import time:        99 |         99 |                               org
import time:        69 |        167 |                             org.python
import time:        70 |        237 |                           org.python.core
import time:      1269 |       2336 |                         pickle
import time:       428 |       2764 |                       numpy._core._methods
import time:      1080 |       3843 |                     numpy._core.fromnumeric
import time:       397 |       4240 |                   numpy._core.shape_base
import time:       251 |        251 |                   numpy._core._ufunc_config
import time:       179 |        179 |                   numpy._core._asarray
import time:       697 |        697 |                   numpy._core.arrayprint
import time:      1053 |       6418 |                 numpy._core.numeric
import time:       464 |       6881 |               numpy._core.einsumfunc
import time:       291 |        291 |               numpy._core.function_base
import time:       298 |        298 |               numpy._core.getlimits
import time:       216 |        216 |               numpy._core.memmap
import time:       626 |        626 |               numpy._core.records
import time:      9859 |       9859 |               numpy._core._add_newdocs
import time:      1202 |       1202 |               numpy._core._add_newdocs_scalars
import time:       193 |        193 |               numpy._core._dtype_ctypes
import time:       636 |        636 |                   _ctypes
import time:       393 |        393 |                   ctypes._endian
import time:      1322 |       2350 |                 ctypes
import time:       956 |       3306 |               numpy._core._internal
import time:       212 |        212 |               numpy._pytesttester
import time:      1222 |      40847 |             numpy._core
import time:        70 |      40916 |           numpy._core._multiarray_umath
import time:       468 |      41383 |         numpy.__config__
import time:       297 |        297 |                           numpy._typing._nbit_base
import time:       260 |        260 |                           numpy._typing._nested_sequence
import time:       135 |        135 |                           numpy._typing._shape
import time:      3125 |       3816 |                         numpy._typing._array_like
import time:      2402 |       2402 |                         numpy._typing._char_codes
import time:      3116 |       3116 |                         numpy._typing._dtype_like
import time:       161 |        161 |                         numpy._typing._nbit
import time:       151 |        151 |                         numpy._typing._scalars
import time:       126 |        126 |                         numpy._typing._ufunc
import time:       680 |      10448 |                       numpy._typing
import time:       292 |        292 |                         numpy.lib._stride_tricks_impl
import time:       506 |        798 |                       numpy.lib._twodim_base_impl
import time:       133 |        133 |                         numpy.lib._array_utils_impl
import time:       202 |        334 |                       numpy.lib.array_utils
import time:       397 |        397 |                       numpy.linalg._umath_linalg
import time:      2286 |      14262 |                     numpy.linalg._linalg
import time:       338 |      14600 |                   numpy.linalg
import time:       686 |      15285 |                 numpy.matrixlib.defmatrix
import time:       478 |      15763 |               numpy.matrixlib
import time:       346 |        346 |                 numpy.lib._histograms_impl
import time:      1580 |       1926 |               numpy.lib._function_base_impl
import time:       674 |      18362 |             numpy.lib._index_tricks_impl
import time:       469 |      18830 |           numpy.lib._arraypad_impl
import time:       976 |        976 |           numpy.lib._arraysetops_impl
import time:       218 |        218 |           numpy.lib._arrayterator_impl
import time:      1568 |       1568 |           numpy.lib._nanfunctions_impl
import time:      2499 |       2499 |                   platform
import time:       407 |       2905 |                 numpy.lib._utils_impl
import time:       350 |       3255 |               numpy.lib._format_impl
import time:       219 |       3474 |             numpy.lib.format
import time:       339 |        339 |             numpy.lib._datasource
import time:       446 |        446 |             numpy.lib._iotools
import time:      1016 |       5274 |           numpy.lib._npyio_impl
import time:       246 |        246 |               numpy.lib._ufunclike_impl
import time:       359 |        604 |             numpy.lib._type_check_impl
import time:       782 |       1385 |           numpy.lib._polynomial_impl
import time:       462 |        462 |           numpy.lib._shape_base_impl
import time:       175 |        175 |           numpy.lib._version
import time:       137 |        137 |           numpy.lib.introspect
import time:       228 |        228 |           numpy.lib.mixins
import time:       118 |        118 |           numpy.lib.npyio
import time:       304 |        304 |             numpy.lib._scimath_impl
import time:       122 |        425 |           numpy.lib.scimath
import time:       131 |        131 |           numpy.lib.stride_tricks
import time:       770 |      30692 |         numpy.lib
import time:       187 |        187 |         numpy._array_api_info
import time:      1582 |      75075 |       numpy
import time:       451 |        451 |         gzip
import time:       136 |        136 |                 mmtf.utils
import time:       236 |        372 |               mmtf.utils.constants
import time:        96 |         96 |               urllib2
import time:      2059 |       2059 |                   _hashlib
import time:       243 |        243 |                   _blake2
import time:       575 |       2875 |                 hashlib
import time:       986 |        986 |                   http
import time:      1240 |       2225 |                 http.client
import time:       244 |        244 |                   urllib.response
import time:       295 |        538 |                 urllib.error
import time:      2064 |       7701 |               urllib.request
import time:       288 |        288 |                 msgpack.exceptions
