import time: self [us] | cumulative | imported package
import time:      2031 |       2031 |                 platform
import time:       498 |       2528 |               numpy.lib._utils_impl
import time:       278 |       2805 |             numpy.lib._format_impl
import time:       164 |       2969 |           numpy.lib.format
import time:       280 |        280 |           numpy.lib._datasource
import time:       446 |        446 |           numpy.lib._iotools
import time:       867 |       4560 |         numpy.lib._npyio_impl
import time:       194 |        194 |             numpy.lib._ufunclike_impl
import time:       307 |        501 |           numpy.lib._type_check_impl
import time:       567 |       1067 |         numpy.lib._polynomial_impl
import time:       395 |        395 |         numpy.lib._shape_base_impl
import time:       151 |        151 |         numpy.lib._version
import time:       119 |        119 |         numpy.lib.introspect
import time:       255 |        255 |         numpy.lib.mixins
import time:       107 |        107 |         numpy.lib.npyio
import time:       223 |        223 |           numpy.lib._scimath_impl
import time:       110 |        333 |         numpy.lib.scimath
import time:       106 |        106 |         numpy.lib.stride_tricks
import time:       480 |      35237 |       numpy.lib
import time:       161 |        161 |       numpy._array_api_info
import time:      1851 |     149134 |     numpy
import time:       213 |        213 |         dateutil._version
import time:       272 |        484 |       dateutil
import time:       378 |        378 |           sysconfig
import time:       497 |        497 |           _sysconfigdata__linux_x86_64-linux-gnu
import time:       550 |       1424 |         pandas.compat._constants
import time:       120 |        120 |             pandas.util
import time:      2527 |       2646 |           pandas.util.version
import time:       337 |       2983 |         pandas.compat.numpy
import time:        83 |         83 |           pyarrow
import time:       201 |        283 |         pandas.compat.pyarrow
import time:       650 |       5338 |       pandas.compat
import time:       527 |        527 |               numpy._typing._add_docstring
import time:       199 |        726 |             numpy.typing
import time:       230 |        230 |                 zlib
import time:       485 |        485 |                   numpy.random._common
import time:       237 |        237 |                       binascii
import time:       269 |        505 |                     base64
import time:      2267 |       2267 |                       _hashlib
import time:       281 |        281 |                         _blake2
import time:       566 |        847 |                       hashlib
import time:       370 |       3484 |                     hmac
import time:       176 |        176 |                         _bisect
import time:       181 |        357 |                       bisect
import time:       190 |        190 |                       _random
import time:       159 |        159 |                       _sha512
import time:       611 |       1315 |                     random
import time:       252 |       5554 |                   secrets
import time:       589 |       6627 |                 numpy.random.bit_generator
import time:       433 |       7289 |               numpy.random._bounded_integers
import time:       306 |        306 |                   numpy.random._pcg64
import time:      1440 |       1745 |                 numpy.random._generator
import time:       244 |        244 |                 numpy.random._mt19937
import time:       241 |        241 |                 numpy.random._philox
import time:       202 |        202 |                 numpy.random._sfc64
import time:      1536 |       1536 |                 numpy.random.mtrand
import time:       243 |       4209 |               numpy.random._pickle
import time:       281 |      11778 |             numpy.random
import time:      2698 |      15201 |           pandas._typing
import time:       235 |        235 |           pandas.util._exceptions
import time:       964 |      16399 |         pandas._config.config
import time:       278 |        278 |         pandas._config.dates
import time:       113 |        113 |             _locale
import time:      1075 |       1187 |           locale
import time:       241 |       1428 |         pandas._config.display
import time:       218 |      18321 |       pandas._config
import time:       174 |        174 |         pandas.core
import time:       259 |        259 |               pandas._libs.pandas_parser
import time:       154 |        154 |               pandas._libs.pandas_datetime
import time:       432 |        432 |                             pandas._libs._cyutility
import time:       376 |        808 |                           pandas._libs.tslibs.ccalendar
import time:       578 |        578 |                           pandas._libs.tslibs.np_datetime
import time:      1325 |       2709 |                         pandas._libs.tslibs.dtypes
import time:       263 |        263 |                           pandas._libs.tslibs.base
import time:       743 |        743 |                               pandas._libs.tslibs.nattype
import time:       299 |        299 |                                     zoneinfo._tzpath
import time:       228 |        228 |                                     zoneinfo._common
import time:       265 |        265 |                                     _zoneinfo
import time:       323 |       1114 |                                   zoneinfo
import time:       212 |        212 |                                   pandas.compat._optional
import time:      1313 |       1313 |                                       six
import time:        57 |         57 |                                       six.moves
import time:       323 |        323 |                                       dateutil.tz._common
import time:       251 |        251 |                                       dateutil.tz._factories
import time:        36 |         36 |                                         six.moves.winreg
import time:       303 |        339 |                                       dateutil.tz.win
import time:      1025 |       3305 |                                     dateutil.tz.tz
import time:       215 |       3520 |                                   dateutil.tz
import time:       827 |       5671 |                                 pandas._libs.tslibs.timezones
import time:       373 |        373 |                                   pandas._libs.properties
import time:       381 |        754 |                                 pandas.util._decorators
import time:       491 |        491 |                                     calendar
import time:      2334 |       2825 |                                   _strptime
import time:       102 |        102 |                                       errno
import time:       868 |        868 |                                       signal
import time:       350 |        350 |                                       fcntl
import time:       217 |        217 |                                       msvcrt
import time:       294 |        294 |                                       _posixsubprocess
import time:       295 |        295 |                                       select
import time:       754 |        754 |                                       selectors
import time:       838 |       3714 |                                     subprocess
import time:       252 |       3965 |                                   pandas._config.localization
import time:       613 |       7402 |                                 pandas._libs.tslibs.fields
import time:      1151 |      14977 |                               pandas._libs.tslibs.timedeltas
import time:       379 |        379 |                               pandas._libs.tslibs.tzconversion
import time:      1671 |      17769 |                             pandas._libs.tslibs.timestamps
import time:       137 |        137 |                             dateutil.easter
import time:      2050 |      19955 |                           pandas._libs.tslibs.offsets
import time:       577 |        577 |                               _decimal
import time:       259 |        835 |                             decimal
import time:        44 |         44 |                                   _string
import time:       989 |       1033 |                                 string
import time:       183 |        183 |                                 dateutil._common
import time:      1178 |       2393 |                               dateutil.parser._parser
import time:       476 |        476 |                               dateutil.parser.isoparser
import time:       300 |       3168 |                             dateutil.parser
import time:      1133 |       1133 |                             pandas._libs.tslibs.strptime
import time:       696 |       5831 |                           pandas._libs.tslibs.parsing
import time:       638 |      26685 |                         pandas._libs.tslibs.conversion
import time:      1048 |       1048 |                         pandas._libs.tslibs.period
import time:       490 |        490 |                         pandas._libs.tslibs.vectorized
import time:       392 |      31322 |                       pandas._libs.tslibs
import time:        27 |      31348 |                     pandas._libs.tslibs.nattype
import time:       302 |        302 |                     pandas._libs.ops_dispatch
import time:       716 |      32365 |                   pandas._libs.missing
import time:      1449 |      33814 |                 pandas._libs.hashtable
import time:      1190 |       1190 |                 pandas._libs.algos
import time:       956 |      35958 |               pandas._libs.interval
import time:       207 |      36578 |             pandas._libs
import time:        33 |      36610 |           pandas._libs.tslibs
import time:       990 |      37600 |         pandas.errors
import time:      1421 |      39194 |       pandas.core.config_init
import time:       175 |        175 |           pandas.core.dtypes
import time:       142 |        142 |             pyarrow
import time:      1587 |       1728 |           pandas._libs.lib
import time:       468 |        468 |             pandas.core.dtypes.generic
import time:       335 |        802 |           pandas.core.dtypes.base
import time:       207 |        207 |           pandas.core.dtypes.inference
import time:      1657 |       4568 |         pandas.core.dtypes.dtypes
import time:       312 |        312 |           pandas.core.dtypes.common
import time:       291 |        603 |         pandas.core.dtypes.missing
import time:       115 |        115 |               pandas.io
import time:       239 |        353 |             pandas.io._util
import time:       502 |        855 |           pandas.core.dtypes.cast
import time:       155 |        155 |             pandas.core.dtypes.astype
import time:       190 |        345 |           pandas.core.dtypes.concat
import time:       101 |        101 |             pandas.core.array_algos
import time:      9465 |       9465 |                 numpy.ma.core
import time:      1043 |       1043 |                 numpy.ma.extras
import time:       253 |      10760 |               numpy.ma
import time:       497 |        497 |                 pandas.core.col
import time:       391 |        887 |               pandas.core.common
import time:       275 |      11922 |             pandas.core.construction
import time:       339 |      12361 |           pandas.core.array_algos.take
import time:       222 |        222 |             pandas.core.indexers.utils
import time:       184 |        405 |           pandas.core.indexers
import time:       396 |      14360 |         pandas.core.algorithms
import time:       359 |        359 |             pandas.core.arrays.arrow.accessors
import time:       157 |        157 |                 fnmatch
import time:        70 |         70 |                   _winapi
import time:        61 |         61 |                   nt
import time:        56 |         56 |                   nt
import time:        54 |         54 |                   nt
import time:        53 |         53 |                   nt
import time:        79 |         79 |                   nt
import time:       109 |        479 |                 ntpath
import time:       114 |        114 |                   urllib
import time:      1249 |       1249 |                   ipaddress
import time:      1006 |       2368 |                 urllib.parse
import time:       705 |       3707 |               pathlib
import time:       244 |        244 |               unicodedata
import time:       425 |        425 |               pandas.core.missing
import time:       292 |        292 |                   pandas._libs.ops
import time:       122 |        122 |                   pandas.core.roperator
import time:        98 |         98 |                   pandas.core.computation
import time:       184 |        184 |                     pandas.core.computation.check
import time:       243 |        426 |                   pandas.core.computation.expressions
import time:       125 |        125 |                   pandas.core.ops.missing
import time:        99 |         99 |                   pandas.core.ops.dispatch
import time:       104 |        104 |                   pandas.core.ops.invalid
import time:       348 |       1612 |                 pandas.core.ops.array_ops
import time:       126 |        126 |                 pandas.core.ops.common
import time:       176 |        176 |                 pandas.core.ops.docstrings
import time:       116 |        116 |                 pandas.core.ops.mask_ops
import time:       192 |       2219 |               pandas.core.ops
import time:       378 |        378 |               pandas.core.arraylike
import time:       250 |        250 |               pandas.core.arrays._arrow_string_mixins
import time:       123 |        123 |               pandas.core.arrays._utils
import time:       201 |        201 |                   pandas.util._validators
import time:       304 |        505 |                 pandas.compat.numpy.function
import time:       151 |        151 |                 pandas.core.array_algos.quantile
import time:       360 |        360 |                 pandas.core.sorting
import time:       646 |       1660 |               pandas.core.arrays.base
import time:       983 |        983 |                 pandas.core.nanops
import time:       168 |        168 |                 pandas.core.array_algos.masked_accumulations
import time:       163 |        163 |                 pandas.core.array_algos.masked_reductions
import time:       116 |        116 |                 pandas.core.array_algos.transforms
import time:       106 |        106 |                   pandas.core.util
import time:       276 |        276 |                   pandas._libs.hashing
import time:       271 |        652 |                 pandas.core.util.hashing
import time:       774 |       2854 |               pandas.core.arrays.masked
import time:       315 |        315 |                 pandas._libs.arrays
import time:       302 |        302 |                   pandas.core.arrays.numeric
import time:       345 |        647 |                 pandas.core.arrays.floating
import time:       337 |        337 |                 pandas.core.arrays.integer
import time:       847 |        847 |                   pandas.core.arrays._mixins
import time:       128 |        128 |                     pandas.core.strings
import time:       413 |        541 |                   pandas.core.strings.object_array
import time:       358 |       1745 |                 pandas.core.arrays.numpy_
import time:       124 |        124 |                 pandas.io.formats
import time:       212 |        212 |                         _compression
import time:       302 |        302 |                         _bz2
import time:       279 |        792 |                       bz2
import time:       285 |        285 |                         _lzma
import time:       278 |        562 |                       lzma
import time:       728 |       2081 |                     shutil
import time:       207 |       2288 |                   pandas.io.formats.console
import time:       365 |       2652 |                 pandas.io.formats.printing
import time:      1243 |       7060 |               pandas.core.arrays.string_
import time:       133 |        133 |                 pandas.tseries
import time:       408 |        540 |               pandas.tseries.frequencies
import time:      1583 |      21038 |             pandas.core.arrays.arrow.array
import time:       186 |      21582 |           pandas.core.arrays.arrow
import time:       283 |        283 |           pandas.core.arrays.boolean
import time:       214 |        214 |               _csv
import time:       343 |        557 |             csv
import time:       218 |        218 |             pandas.core.accessor
import time:       512 |        512 |             pandas.core.base
import time:       916 |       2201 |           pandas.core.arrays.categorical
import time:       467 |        467 |             pandas._libs.tslib
import time:       164 |        164 |               pandas.core.array_algos.datetimelike_accumulations
import time:      1085 |       1249 |             pandas.core.arrays.datetimelike
import time:       168 |        168 |             pandas.core.arrays._ranges
import time:       135 |        135 |             pandas.tseries.offsets
import time:       645 |       2660 |           pandas.core.arrays.datetimes
import time:       570 |        570 |             pandas.core.arrays.timedeltas
import time:       753 |       1323 |           pandas.core.arrays.interval
