import time: self [us] | cumulative | imported package
import time:       142 |        142 |                   _contextvars
import time:       133 |        274 |                 contextvars
import time:       119 |        119 |                 asyncio.format_helpers
import time:       124 |        124 |                   asyncio.base_futures
import time:       193 |        193 |                   asyncio.exceptions
import time:       125 |        125 |                   asyncio.base_tasks
import time:       332 |        773 |                 _asyncio
import time:       462 |       1627 |               asyncio.events
import time:       210 |        210 |               asyncio.futures
import time:       176 |        176 |               asyncio.protocols
import time:       239 |        239 |                 asyncio.transports
import time:       106 |        106 |                 asyncio.log
import time:       557 |        901 |               asyncio.sslproto
import time:       119 |        119 |                   asyncio.mixins
import time:       297 |        297 |                   asyncio.tasks
import time:       519 |        934 |                 asyncio.locks
import time:       308 |       1242 |               asyncio.staggered
import time:       159 |        159 |               asyncio.trsock
import time:       711 |      11788 |             asyncio.base_events
import time:       299 |        299 |             asyncio.runners
import time:       868 |        868 |             asyncio.queues
import time:       408 |        408 |             asyncio.streams
import time:       256 |        256 |             asyncio.subprocess
import time:       156 |        156 |             asyncio.taskgroups
import time:       435 |        435 |             asyncio.timeouts
import time:       144 |        144 |             asyncio.threads
import time:       254 |        254 |               asyncio.base_subprocess
import time:       605 |        605 |               asyncio.selector_events
import time:       749 |       1607 |             asyncio.unix_events
import time:       328 |      16285 |           asyncio
import time:       175 |      16459 |         tqdm.asyncio
import time:       158 |      53743 |       tqdm.auto
import time:       277 |      54019 |     MDAnalysis.lib.log
import time:       332 |        332 |         numpy.version
import time:       209 |        209 |         numpy._expired_attrs_2_0
import time:       222 |        222 |             numpy._utils._convertions
import time:       224 |        445 |           numpy._utils
import time:       417 |        862 |         numpy._globals
import time:        41 |         41 |           numpy._distributor_init_local
import time:       180 |        221 |         numpy._distributor_init
import time:      2487 |       2487 |                   numpy.exceptions
import time:       361 |        361 |                   numpy._core._exceptions
import time:       156 |        156 |                   numpy._core.printoptions
import time:       164 |        164 |                   numpy.dtypes
import time:     10326 |      13493 |                 numpy._core._multiarray_umath
import time:       211 |        211 |                   numpy._utils._inspect
import time:       459 |        669 |                 numpy._core.overrides
import time:      5721 |      19882 |               numpy._core.multiarray
import time:       345 |        345 |               numpy._core.umath
import time:       845 |        845 |                 numpy._core._dtype
import time:       178 |        178 |                 numpy._core._string_helpers
import time:       496 |        496 |                 numpy._core._type_aliases
import time:       455 |       1972 |               numpy._core.numerictypes
import time:       368 |        368 |                           _compat_pickle
import time:       445 |        445 |                           _pickle
import time:       117 |        117 |                               org
import time:        34 |        150 |                             org.python
import time:        23 |        173 |                           org.python.core
import time:      4291 |       5275 |                         pickle
import time:      3479 |       8754 |                       numpy._core._methods
import time:      1033 |       9787 |                     numpy._core.fromnumeric
import time:       374 |      10160 |                   numpy._core.shape_base
import time:       259 |        259 |                   numpy._core._ufunc_config
import time:       194 |        194 |                   numpy._core._asarray
import time:       744 |        744 |                   numpy._core.arrayprint
import time:      1137 |      12492 |                 numpy._core.numeric
import time:       527 |      13018 |               numpy._core.einsumfunc
import time:       311 |        311 |               numpy._core.function_base
import time:      3394 |       3394 |               numpy._core.getlimits
import time:       293 |        293 |               numpy._core.memmap
import time:       559 |        559 |               numpy._core.records
import time:     18853 |      18853 |               numpy._core._add_newdocs
import time:      1128 |       1128 |               numpy._core._add_newdocs_scalars
import time:       169 |        169 |               numpy._core._dtype_ctypes
import time:       566 |        566 |                   _ctypes
import time:       409 |        409 |                   ctypes._endian
import time:      4469 |       5443 |                 ctypes
import time:       855 |       6298 |               numpy._core._internal
import time:       185 |        185 |               numpy._pytesttester
import time:      6856 |      73257 |             numpy._core
import time:        21 |      73278 |           numpy._core._multiarray_umath
import time:       479 |      73756 |         numpy.__config__
import time:       336 |        336 |                           numpy._typing._nbit_base
import time:       274 |        274 |                           numpy._typing._nested_sequence
import time:       140 |        140 |                           numpy._typing._shape
import time:      9043 |       9792 |                         numpy._typing._array_like
import time:      5525 |       5525 |                         numpy._typing._char_codes
import time:      6292 |       6292 |                         numpy._typing._dtype_like
import time:       184 |        184 |                         numpy._typing._nbit
import time:       153 |        153 |                         numpy._typing._scalars
import time:       134 |        134 |                         numpy._typing._ufunc
import time:      3484 |      25561 |                       numpy._typing
import time:       288 |        288 |                         numpy.lib._stride_tricks_impl
import time:       433 |        721 |                       numpy.lib._twodim_base_impl
import time:       127 |        127 |                         numpy.lib._array_utils_impl
import time:       165 |        292 |                       numpy.lib.array_utils
import time:       374 |        374 |                       numpy.linalg._umath_linalg
import time:      2049 |      28996 |                     numpy.linalg._linalg
import time:      3187 |      32182 |                   numpy.linalg
import time:       394 |      32575 |                 numpy.matrixlib.defmatrix
import time:       291 |      32866 |               numpy.matrixlib
import time:       325 |        325 |                 numpy.lib._histograms_impl
import time:      1390 |       1714 |               numpy.lib._function_base_impl
import time:       580 |      35159 |             numpy.lib._index_tricks_impl
import time:       428 |      35586 |           numpy.lib._arraypad_impl
import time:       864 |        864 |           numpy.lib._arraysetops_impl
import time:       253 |        253 |           numpy.lib._arrayterator_impl
import time:      1434 |       1434 |           numpy.lib._nanfunctions_impl
import time:      5361 |       5361 |                   platform
import time:       342 |       5702 |                 numpy.lib._utils_impl
import time:       282 |       5984 |               numpy.lib._format_impl
import time:       163 |       6146 |             numpy.lib.format
import time:       347 |        347 |             numpy.lib._datasource
import time:       447 |        447 |             numpy.lib._iotools
import time:       953 |       7892 |           numpy.lib._npyio_impl
import time:       242 |        242 |               numpy.lib._ufunclike_impl
import time:       342 |        584 |             numpy.lib._type_check_impl
import time:      3817 |       4400 |           numpy.lib._polynomial_impl
import time:       800 |        800 |           numpy.lib._shape_base_impl
import time:       206 |        206 |           numpy.lib._version
import time:       136 |        136 |           numpy.lib.introspect
import time:       232 |        232 |           numpy.lib.mixins
import time:       120 |        120 |           numpy.lib.npyio
import time:       363 |        363 |             numpy.lib._scimath_impl
import time:       145 |        508 |           numpy.lib.scimath
import time:       151 |        151 |           numpy.lib.stride_tricks
import time:      4334 |      56910 |         numpy.lib
import time:       233 |        233 |         numpy._array_api_info
